zpid,city,streetAddress,zipcode,description,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_saledate,latest_salemonth,latest_saleyear,latestPriceSource,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,homeImage
241932327,pflugerville,1100 Oblique Dr,78660,"3 hr showing notice~Beautifully maintained home in Pflugerville~Open space living area and fabulous kitchen space ideal for entertaining~Spacious master bedroom and bath along with perfectly sized secondary bedrooms allow the space needed for growing families~Close proximity to I-35, Toll 130 and minutes from Austin and Round Rock close to many major employers~Enjoy a rear patio and backyard with amazing views as this property sits at premium elevation~Save $ with solar~Self standing in condo regime.",30.41493416,-97.64328766,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2016,279900,2,8/28/2020,8,2020,Agent Provided,32,0,3,2,0,3,0,0,0,5401,1580,1,0,1,1,1.2,3.666666667,1051,12,2,3,1,241932327_1443918e3814a6c2d9a24f178b2dbdcd-p_f.jpg
241930967,del valle,12612 Stoney Ridge Bnd,78617,"12612 Stoney Ridge Bnd, Del Valle, TX 78617 is a single family home that contains 2,281 sq ft and was built in 2016. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $292,179. The Rent Zestimate for this home is $1,800/mo. ",30.159338,-97.63335419,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2016,250000,1,4/12/2019,4,2019,Agent Provided,37,0,4,1,0,0,0,0,0,4965,2281,1,0,1,1,1.2,3,1615,14,3,3,2,241930967_25b11677848df21523b38fd1f11fda1e-p_f.jpg
69808966,del valle,12813 Buenos Aires Pkwy,78617,"Single Level 2005-Built 4br 2ba 1762 Home backs to Greenbelt ::: Bright & Open Greatroom Floorplan * Spacious Kitchen w/ Center Island open to Familyroom w/ view of Open Field & Pond, no homes behind * New HVAC System 2020 * High Ceilings * Faux-Wood Vinyl Planking * 2"" Wood Blinds * Prime Location near new Tesla Campus & COTA * Easy to Show, Move-In Condition, Vacant/Lockbox ::: Titlework & Survey done, September Closing Preferred",30.16776848,-97.62343597,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,2,2005,239900,9,9/5/2020,9,2020,Buttross Properties,28,0,4,2,1,0,0,0,0,6011,1762,1,0,1,1,0.6333333333,3.333333333,1626,14,2,4,1,69808966_a9daf4cb574c0e4861c99c650cd29ded-p_f.jpg
64520966,del valle,11601 Arrowmound Pass,78617,"Wonderful home in Del Valle.  No neighbors behind this home. The interior has been recently painted along with the exterior.  Laminate wood flooring throughout this home.  No carpet.  HVAC unit is not original and shingles have been replaced within the last five years.  Corner lot with two side brick home plus a recent storage shed was added to this home.  Covered porch.  HVAC and shingles less than 5 years, HVAC, recent interior & exterior paint plus no homes behind this home. Move-In Ready!",30.15428352,-97.65058136,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2003,200000,1,12/15/2018,12,2018,Agent Provided,16,0,4,1,0,0,0,0,0,6926,1326,1,0,1,1,1.833333333,3,1615,14,2,3,1,64520966_afb0bd83030f2bbe9c70c186b01967f1-p_f.jpg
83813460,del valle,12221 Ferrystone Cv,78617,"12221 Ferrystone Cv, Del Valle, TX 78617 is a single family home that contains 1,655 sq ft and was built in 2010. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $260,403. The Rent Zestimate for this home is $1,750/mo. ",30.15972137,-97.63627625,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2010,131679,5,8/18/2020,8,2020,Broker Provided,54,0,2,2,1,1,0,0,0,10846,1655,1,0,1,1,1.233333333,3,1615,14,3,3,2,83813460_6249601da87b7e0a7b26b5cc13233401-p_f.jpg
29470450,del valle,11712 Maybach Dr,78617,"11712 Maybach Dr, Del Valle, TX 78617 is a single family home that contains 1,228 sq ft and was built in 2000. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $215,243. The Rent Zestimate for this home is $1,550/mo. ",30.15768814,-97.64641571,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2000,200000,1,6/2/2020,6,2020,Broker Provided,25,0,4,2,3,1,0,1,0,6621,1228,1,0,1,1,1.466666667,3,1615,14,2,3,1,29470450_4497ba63bf89d78dbe05edca5b4df55c-p_f.jpg
70341946,del valle,6004 Arnhem Cv,78617,View website: http://6004arnhem.IsNow4Sale.com - The kitchen has a center island and is open to other living spaces making it a great place for entertaining. Enjoy a nice evening out or your morning coffee on Porch.Stainless steel appliances and yes the FRIDGE coveys along with washer and dyer. This home is in a cul-de-sac so you have 3 back yards. See for yourself.,30.16875839,-97.61647034,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2009,212000,5,2/27/2019,2,2019,Agent Provided,26,0,3,2,0,0,0,0,0,10802,1752,1,0,1,1,0.5666666667,3.333333333,1626,14,2,4,1,70341946_9cdad930beeb949715556433fac66f31-p_f.jpg
116080992,austin,10505 Cannon Mark Way,78717,"*PLEASE SEE THE WALKTHROUGH VIRTUAL TOUR*This 2015 Built DREES Home has Everything You Would Want with 5 Bedrooms that all have their own Bathroom and Walk-In Closet, 5.5 Bathrooms, Media Room, Game Room, Office, Frameless Shower, Wood Floors, Granite Counter Tops, 3 Car Garage with Epoxy Flooring, Quarter Acre Lot with Tall Shade Trees for the Kids to Play, or add a Pool, East Facing Covered Patio to Keep You Shaded in the Evening, Water Softener, Touch Screen Alarm System, Upgraded Lighting, Custom Paint & Walk-In Attic Designed for Storage.",30.48640823,-97.79472351,2.21,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2014,687850,13,8/28/2018,8,2018,Agent Provided,40,0,4,2,0,0,0,0,0,10672,4564,1,0,1,1,3.266666667,7.666666667,1259,14,6,5,2,116080992_83c089e97b4e96ecb01c3555fa8252d0-p_f.jpg
88013985,austin,15524 Staked Plains Loop,78717,"Rare opportunity in this high demand area of Avery Ranch! 5 Bedrooms, 4 Full Baths all on a coveted corner lot. Desirable layout includes 2 living areas, formal dining, large kitchen open to the living room, stainless appliance package, game room and additional bedroom upstairs! The hidden gem is the second living area that is well placed between two of the bedrooms, perfect for multigenerational families. Covered back patio and several varieties of mature fruit tress! Come and see it. ",30.49437523,-97.79651642,2.21,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,2,2007,409000,4,12/3/2018,12,2018,Agent Provided,31,0,6,3,0,0,0,0,0,9060,3233,1,0,1,1,1.933333333,8.333333333,1481,16,4,5,2,88013985_6d4b35d2a232c42fcc863317f22401c7-p_f.jpg
70344594,austin,15217 Sabal Palm Rd,78724,Charming Home boasting 3 bedrooms and 2 baths. This home sits on a sizable corner lot and is almost ready for move in.,30.25570679,-97.5769577,1.98,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2006,199000,3,12/22/2020,12,2020,Agent Provided,21,1,2,2,1,0,0,0,0,7448,1511,1,0,1,1,2.433333333,2.666666667,1478,13,2,3,1,70344594_3e29ab1c54a4a8ca80360911b9ac7434-p_f.jpg
185217484,austin,14004 Chisos Trl,78717,"COVETED, SPACIOUS 3 bed + OFFICE, 1story MIL Plan w/HUGE guest room on other side of home adjacent to full bath & 3rd bedroom that can be another living space or adult bedroom! GORGEOUS open plan features formal DR, GREAT ROOM w/fireplace overlooks the PERFECT SIZE backyard & TRIPLE LENGTH, XTRA DEEP COVERED PATIO. Spacious kitchen w/ Xtra-long serving bar, granite, stainless appliances, walk-in pantry & breakfast nook w/bay window. Office features wood floors & 11' ceiling! Walking distance to Trailhead!",30.49563789,-97.79787445,2.21,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2008,400000,2,1/10/2020,1,2020,Pure Gold Realty,20,0,3,2,0,0,0,0,0,7666,2228,1,0,1,1,1.9,8.333333333,1481,16,2,3,1,185217484_1f06634bc9d5424bc0f094f68ca72fe4-p_f.jpg
121719682,austin,14108 Laurinburg Dr,78717,"Stunning Modern Design~Super Well Maintained~Mother-in-Law Plan with 2 bedrooms/2 full baths downstairs & separate study~Interior boasts high end finishes including dark hardwoods, high vaulted ceilings, 9 ft. doors, quartz counter tops & upgraded cabinets throughout, tankless water heaters, and shutters~Gourmet kitchen with upgraded Kitchen Aid Signature Series appliances~Over-sized covered patio with built-in grille and fridge opens to beautifully landscaped low maintenance back yard~Stunning Master Bath with his and hers closets~Awesome utility room with custom counter and sink with separate mud-room~Upstairs over-sized gameroom and separate media room with 2 beds and 2 full baths~Sought After Avery Ranch Community including Resort Style Pool and Amenity Center~Super close to all major conveniences including grocery stores, shopping, and 5 min drive to Apple Campus~Seller is willing to sell all furniture including all TVs and media room equipment.",30.49025726,-97.79174042,2.21,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Residential,0,2015,699000,1,12/7/2020,12,2020,Central Texas MLS,36,0,7,2,2,0,0,0,1,10890,4020,1,0,1,1,3.266666667,7.666666667,1259,14,4,4,2,121719682_4a0a90d12c692fe1bd74b32f2a0dc05f-p_f.jpg
116080981,austin,14405 Laurinburg Dr,78717,"Popular Bingham Floor plan in sought after Northwoods Community.  Over 75+k in Upgrades! Home features gorgeous open floor plan with Huge Living Space, 4 bedrooms plus study downstairs and a Game Room with Full bath upstairs. Wood floors in the living, kitchen and dining space, Plantation Shutters throughout, covered Patio and More!. Within min to Lakeline Station, HEB, Sams and Lakeline Mall. Easy Access to 183, Mopac, Parmer and Toll!",30.48877525,-97.79489899,2.21,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2013,549900,2,3/13/2018,3,2018,Agent Provided,69,0,4,3,0,0,0,0,0,8494,3494,1,0,1,1,3.3,7.666666667,1259,14,5,4,2,116080981_b15ecd54b82b93b6af1408beb22e069f-p_f.jpg
83822421,austin,6700 Evelyn Rd,78747,"Contact first listing agent for showing instructions. This beautiful lot currently has 3 mobile units with renters in each one. Total rent accumulates around $2,800. Mobile units are 2010 or newer. 3 Septic tanks with 3 electric meters for each unit! Washer/ Dryer, lawnmower included!",30.08774757,-97.7052002,1.98,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Mobile / Manufactured,2,2007,350000,6,3/29/2019,3,2019,Agent Provided,27,0,3,2,0,0,0,0,0,107593.2,1216,1,0,1,1,5.2,3.333333333,1557,14,5,8,1,83822421_d2ee783cf08d78369db622de9d912464-p_f.jpg
29462564,austin,14702 Menifee St,78725,"Fridge, washer, dryer, wall tv mounts do not convey",30.2331543,-97.58731842,1.98,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,1999,240000,2,12/31/2020,12,2020,Agent Provided,10,0,4,2,2,0,0,0,0,5183,1534,1,0,1,1,1.8,3,1457,13,3,3,1,29462564_aff81d6f3dad7122ffbbcb7d1f9b5654-p_f.jpg
70355992,austin,15303 Lucian St,78725,"15303 Lucian St, Austin, TX 78725 is a single family home that contains 1,738 sq ft and was built in 2013. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $284,728. The Rent Zestimate for this home is $1,650/mo. ",30.23806572,-97.57801819,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2013,249900,1,12/4/2020,12,2020,Broker Provided,35,2,3,2,1,1,0,0,0,7405,1738,1,0,1,1,1.966666667,3,1457,13,2,3,1,70355992_6690775f5053ed747a80d221c069391e-p_f.jpg
89659978,austin,14224 Canyon Trl,78717,"Avery Ranch 3 car garage 5 bedrooms w/3 full baths plus an office! Upgraded carpet & wood floors including stairs~guest room down w/access to full bath~wraparound back covered patio & a yard big enough for pool &entertaining~gameroom up with 3 guest beds and guest bath with 2 sinks~nice sized master bedroom with a very nicely laid out master closet~upgraded lighting throughout~access to pools, parks & brushy creek trail system~highly rated Leander ISD~Lakeline Lightrail station is less than 2 miles away",30.49218941,-97.79308319,2.21,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,3,2010,400000,2,4/22/2020,4,2020,Broker Provided,21,0,3,3,2,1,0,1,0,12196.8,2630,1,0,1,1,2.033333333,8.333333333,1481,16,3,5,2,89659978_d06ef54af4f2b1b2734953be777fdd1a-p_f.jpg
70355990,austin,15207 Lucian St,78725,"Don't miss this opportunity to find a great home on one of the larger lots in this neighborhood.  One a quiet cul-de-sac this home has great curb appeal and an open floor plan that is perfect for entertaining or family gatherings.  The kitchen, dining and family provide a warm and large space.  The French doors off of the breakfast area lead to a large backyard that is perfect for taking the party outdoors.",30.23823738,-97.57833099,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2012,200000,1,1/30/2018,1,2018,Agent Provided,33,0,5,2,0,0,0,0,0,8145,1652,1,0,1,1,1.966666667,3,1457,13,2,3,1,70355990_04f1194f797deba9500ba186fa208bde-p_f.jpg
70333917,austin,12525 Verandah Ct,78726,"Welcome to the Estates of Grandview Hills.  This elegant custom home is located on a cul-de-sac lot with views of the Texas Hill Country.  The home features a private backyard with a resort style pool, pergola covered outdoor kitchen and custom stone fire pit.  Automatic sun shades cover the back patio for relief from the Texas sun.  Inside you'll find beautiful wide plank hardwood floors and custom wood shutters throughout.  You'll love entertaining in the fabulous remodeled kitchen which features extensive white quartz countertops, tons of cabinet space, stainless farmhouse sink, wine fridge, gas cook-top and a Bosch dishwasher.  Upstairs you will find a large media/gameroom with wetbar and built-in cabinets, copper sink, and stone countertop. Two other dedicated bedrooms upstairs and a large flex room that can be so many things from a 4th bedroom (windows are fixed), 2nd office or dedicated home school room!  Located close to shopping and restaurants. Leander ISD feeding into Vandegrift High School.",30.42645645,-97.85929108,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,2,2004,875000,2,11/9/2020,11,2020,Agent Provided,38,0,8,2,4,1,0,0,0,30056.4,3402,1,0,1,1,2.066666667,7,1277,16,4,4,2,70333917_38e0174e92f0a3743d95f5d04f1d5a71-p_f.jpg
29471292,austin,9601 Cliffbrook Dr,78747,"Sitting on 2.34 acres with views for miles! Three bedrooms, 2 baths with new sinks and vanities in both baths, new water heater, solar screens on all windows and an covered back patio. Property includes a huge barn, chicken coops and storage. Just off 183 with easy access to ABIA and downtown Austin via 183 or IH35.",30.10340118,-97.71691132,1.98,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,1970,164995,4,10/27/2020,10,2020,Agent Provided,29,0,1,2,2,2,0,1,0,102366,2350,1,0,1,1,4.766666667,3.333333333,1557,14,2,3,1,29471292_a9150842bcf2dc6dae364d7672902d31-p_f.jpg
241932966,austin,5509 Bonneville Bnd,78744,"5509 Bonneville Bnd, Austin, TX 78744 is a single family home that contains 1,634 sq ft and was built in 2016. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $339,612. The Rent Zestimate for this home is $2,000/mo. ",30.17614555,-97.69814301,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2016,287500,2,4/18/2019,4,2019,Agent Provided,40,0,4,2,0,0,0,0,0,6141,1634,1,0,1,1,2.9,3.666666667,1532,12,2,3,1,241932966_46ca4698d275a217ccb3769b948981b9-p_f.jpg
116080975,austin,10912 Crosbyton Ln,78717,"10912 Crosbyton Ln, Austin, TX 78717 is a single family home that contains 3,047 sq ft and was built in 2013. It contains 4 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $700,508. The Rent Zestimate for this home is $2,495/mo. ",30.48899651,-97.79379272,2.21,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2013,650000,1,3/25/2020,3,2020,Broker Provided,1,0,3,3,1,0,0,2,0,8363,3047,1,0,1,1,3.3,7.666666667,1259,14,4,4,1,116080975_cac79f1904989e8f3640cbcfc8af9d44-p_f.jpg
145656987,austin,4606 Belfield Ln,78725,"Awesome opportunity to own a 3 bedroom, 2 bathroom, almost new home in Austin's Colony. Great floorplan with kitchen wide open to the living room. Private rear yard. Easy access to Toll 130, only 15 minutes to downtown Austin. Contact your agent to schedule a showing ASAP as this home is priced to sell quickly.",30.24176788,-97.57905579,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2015,196000,1,1/10/2019,1,2019,Spyglass Realty and Investment,29,0,7,1,0,0,0,0,0,5532,1399,1,0,1,1,1.933333333,3,1457,13,2,3,1,145656987_2c1694d51de6eb66a9b07aa072424cee-p_f.jpg
83821490,austin,11223 Tom Sassman Rd,78747,"Very close to Austin Airport, Circuit of The Americas, toll roads, downtown Austin... creek and pond on property... amazing potential - not many restrictions... House is very livable... large garage/storage building has very rough floor and has an old 1 bedroom with full bath in it (needs work!)... lots of covered storage... minutes from 183 & toll road -- 100 year flood plain - current & previous owners state house never flooded",30.0850296,-97.69979095,1.98,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1985,239999,5,8/23/2018,8,2018,Agent Provided,35,0,1,0,0,0,0,0,0,411206.4,1264,1,0,1,1,5.366666667,3.333333333,1557,14,2,3,1,83821490_1d83f660921ba6ef4a3485f358d249a1-p_f.jpg
70333915,austin,12512 Verandah Ct,78726,"An abundance of technological & designer upgrades. Featuring jaw-dropping outdoor, covered living space with fp, TV, sound system, bar, half bath & outdoor kitchen all overlooking serene swimming pool & spa in a completely private backyard with a hidden, raised-bed, organic garden. Timed landscaped lighting - even in the trees. A must see! Resort-style living near Lake Austin/Lake Travis/Concordia U & convenient to Downtown Austin. Executive home on extra-large lot in coveted, Estates section.",30.42596436,-97.85840607,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2005,830000,5,9/17/2019,9,2019,Agent Provided,37,0,4,1,1,3,0,1,0,19166.4,3573,1,0,1,1,2,7,1277,16,5,4,2,70333915_0fe8e2a4788af409a614f3d71ecf0716-p_f.jpg
29462467,austin,14500 James Vincent Dr,78725,"Great home available in Austin's Colony.  2 Living/ 2 Dining areas!  Fireplace in downstairs family room.  Kitchen with gas cooking! All bedrooms up!  Master bedroom with walk in closet and a master bath that has double vanities, separate shower and a garden tub.  Large patio in back for entertaining!  Shade trees! Storage building!",30.23158455,-97.59126282,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2000,219990,1,6/7/2019,6,2019,Broker Provided,24,0,4,1,0,1,0,0,0,6229,2035,1,0,1,1,1.766666667,3,1457,13,3,3,2,29462467_3f093674703b058a46b604365489a9d5-p_f.jpg
89548387,austin,11928 Aitne Ln,78725,"A well kept 3 bed 2 bath corner lot home at a great price. Durable vinyl plank flooring throughout the home with an open floorplan. Vaulted ceilings help create an open feeling throughout the living area and into the Master. Kitchen opens onto dining room with windows looking out from the sink. A double vanity, a separate shower and garden cap off a surprisingly spacious master. Back yard is fenced in with plenty of space for children or the family pet to play in. All bedrooms positioned towards the interior of the lot and away from the street.",30.21509933,-97.63643646,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2009,195000,1,3/28/2019,3,2019,Agent Provided,26,0,4,1,0,0,0,0,0,6751,1304,1,0,1,1,3.266666667,3,1457,13,2,3,1,89548387_b6027ef7ab78590dc5a41affbb760d93-p_f.jpg
